shelter_name,shelter_id,Aufnahme möglich,keine Angabe,keine Aufnahme möglich,bundesland,kreis,latitude,longitude
1. Autonomes Frauenhaus,2027,0.5769230769230769,0.0,0.4230769230769231,Sachsen,Kreisfreie Stadt Leipzig,51.325187635158,12.373901299377
1. Frauenhaus Köln,2140,0.031135531135531136,0.0,0.9688644688644689,Nordrhein-Westfalen,Kreisfreie Stadt Köln,50.933466575848,6.998637825656
2. Autonomes Frauenhaus Köln,2253,0.04945054945054945,0.0,0.9505494505494505,Nordrhein-Westfalen,Kreisfreie Stadt Köln,50.921396360676,6.995416051662
4. Frauen*- und Kinderschutzhaus Leipzig,2317,0.25274725274725274,0.0,0.7472527472527473,Sachsen,Kreisfreie Stadt Leipzig,51.3406321,12.3747329
AWO Frauen- und Kinderschutzhaus Bodenseekreis,2333,0.009157509157509158,0.0,0.9908424908424909,Baden-Württemberg,Kreis Bodenseekreis,47.638670429344,9.466205664648
AWO Frauenhaus &quotLotte Lemke&quot,2103,0.12637362637362637,0.0,0.8736263736263736,Hessen,Landkreis Hochtaunuskreis,50.2268308,8.6181618
AWO Frauenhaus Bielefeld,2118,0.1391941391941392,0.0,0.8608058608058609,Nordrhein-Westfalen,Kreisfreie Stadt Bielefeld,52.035301540103,8.526657636721
AWO Frauenhaus Iserlohn,2232,0.2838827838827839,0.0,0.7161172161172161,Nordrhein-Westfalen,Kreis Märkischer Kreis,51.383210093974,7.684256826022
AWO Frauenhaus Landshut,2187,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Landshut,48.53761662542,12.153462601108
AWO Frauenhaus Ludwigslust,2148,0.09706959706959707,0.11355311355311355,0.7893772893772893,Mecklenburg-Vorpommern,Landkreis Ludwigslust-Parchim,53.3244914,11.4969238
AWO Frauenhaus Nurdan-Eker Wiesbaden,2312,0.0,0.0,1.0,Hessen,Kreisfreie Stadt Wiesbaden,50.092145133904,8.233820739889
AWO Frauenhaus Schwalm-Eder,2104,0.1794871794871795,0.0,0.8205128205128205,Hessen,Landkreis Schwalm-Eder-Kreis,51.030353699843,9.41785004983
AWO Frauenschutzhaus Stralsund,2172,0.33516483516483514,0.056776556776556776,0.608058608058608,Mecklenburg-Vorpommern,Landkreis Vorpommern-Rügen,54.3161903,13.0950601
AWO-Frauenhaus,2311,0.05128205128205128,0.0,0.9487179487179487,Nordrhein-Westfalen,Kreis Kleve,51.789621872871,6.145853870316
AWO-Frauenhaus-Bottrop,2321,0.09706959706959707,0.0,0.9029304029304029,Nordrhein-Westfalen,Kreisfreie Stadt Bottrop,51.522238111129,6.926211462971
Autonomes Frauenhaus,2081,0.07142857142857142,0.0,0.9285714285714286,Hessen,Landkreis Waldeck-Frankenberg,51.11062982947,9.116401666944
Autonomes Frauenhaus,2170,0.04945054945054945,0.0,0.9505494505494505,Hessen,Landkreis Main-Kinzig-Kreis,50.25418357165,9.295718601627
Autonomes Frauenhaus Bielefeld,2220,0.029304029304029304,0.0,0.9706959706959707,Nordrhein-Westfalen,Kreisfreie Stadt Bielefeld,52.0191005,8.531007
Autonomes Frauenhaus Celle,2041,0.17032967032967034,0.005494505494505495,0.8241758241758241,Niedersachsen,Landkreis Celle,52.620867,10.0626059
Autonomes Frauenhaus Dortmund,2052,0.14285714285714285,0.0,0.8571428571428571,Nordrhein-Westfalen,Kreisfreie Stadt Dortmund,51.5142273,7.4652789
Autonomes Frauenhaus Duisburg,2199,0.08241758241758242,0.0,0.9175824175824175,Nordrhein-Westfalen,Kreisfreie Stadt Duisburg,51.434999,6.759562
Autonomes Frauenhaus Elmshorn,2049,0.056776556776556776,0.0,0.9432234432234432,Schleswig-Holstein,Kreis Pinneberg,53.7542251,9.6592636
Autonomes Frauenhaus Frankfurt,2091,0.24358974358974358,0.0,0.7564102564102564,Hessen,Kreisfreie Stadt Frankfurt am Main,50.1109221,8.6821267
Autonomes Frauenhaus Gießen,2181,0.10989010989010989,0.0,0.8901098901098901,Hessen,Landkreis Gießen,50.581233679102,8.666742445447
Autonomes Frauenhaus Heilbronn,2259,0.029304029304029304,0.047619047619047616,0.9230769230769231,Baden-Württemberg,Stadtkreis Heilbronn,49.131106886991,9.228034832273
Autonomes Frauenhaus Itzehoe,2193,0.02564102564102564,0.0,0.9743589743589743,Schleswig-Holstein,Kreis Steinburg,53.9242344,9.5100452
Autonomes Frauenhaus Kempten (Allgäu),2024,0.0,0.047619047619047616,0.9523809523809523,Bayern,Kreisfreie Stadt Kempten (Allgäu),47.762382099999996,10.3245689
Autonomes Frauenhaus Kreis Plön,2034,0.13003663003663005,0.031135531135531136,0.8388278388278388,Schleswig-Holstein,Kreis Plön,54.232749761427,10.279783840293
Autonomes Frauenhaus Leverkusen,2151,0.04395604395604396,0.0,0.9560439560439561,Nordrhein-Westfalen,Kreisfreie Stadt Leverkusen,51.036439483933,6.993204651605
Autonomes Frauenhaus Lübeck,2249,0.0,0.0,1.0,Schleswig-Holstein,Kreisfreie Stadt Lübeck,53.867549231603,10.687671111421
Autonomes Frauenhaus Marburg,2025,0.10073260073260074,0.0,0.8992673992673993,Hessen,Landkreis Marburg-Biedenkopf,50.8117327,8.7757742
Autonomes Frauenhaus Münster,2141,0.06593406593406594,0.0,0.9340659340659341,Nordrhein-Westfalen,Kreisfreie Stadt Münster,51.956729697633,7.632398512595
Autonomes Frauenhaus Neumünster,2063,0.045787545787545784,0.0,0.9542124542124543,Schleswig-Holstein,Kreisfreie Stadt Neumünster,54.074247318196,9.984462815518
Autonomes Frauenhaus Osnabrück,2089,0.05128205128205128,0.0,0.9487179487179487,Niedersachsen,Kreisfreie Stadt Osnabrück,52.274435951938,8.04727121527
Autonomes Frauenhaus Regensburg,2225,0.1794871794871795,0.1684981684981685,0.652014652014652,Bayern,Kreisfreie Stadt Regensburg,48.98322105,12.151901371455
Autonomes Frauenhaus Rheydt,2048,0.04212454212454213,0.0,0.9578754578754579,Nordrhein-Westfalen,Kreisfreie Stadt Mönchengladbach,51.164802443583,6.446487203488
Autonomes Frauenhaus Rostock,2163,0.07875457875457875,0.0,0.9212454212454212,Mecklenburg-Vorpommern,Landkreis Rostock,54.052138471041,12.10428681682
Autonomes Frauenhaus Stuttgart,2078,0.047619047619047616,0.0,0.9523809523809523,Baden-Württemberg,Stadtkreis Stuttgart,48.763984707357,9.174786993125
Autonomes Frauenhaus Trier,2137,0.08241758241758242,0.0,0.8095238095238095,Rheinland-Pfalz,Kreisfreie Stadt Trier,49.749992,6.6371433
Autonomes Frauenhaus Tübingen,2012,0.08974358974358974,0.0,0.9102564102564102,Baden-Württemberg,Landkreis Tübingen,48.52057725995,9.025027129822
Autonomes Frauenhaus Wedel,2188,0.016483516483516484,0.0,0.9835164835164835,Schleswig-Holstein,Kreis Pinneberg,53.583195431882,9.709891071281
Caritas Frauenhaus Landshut,2218,0.0,0.11904761904761904,0.8809523809523809,Bayern,Kreisfreie Stadt Landshut,48.538071270726,12.162603569431
DRk Frauenschutzhaus Burg,2307,0.33516483516483514,0.0,0.6648351648351648,Sachsen-Anhalt,Landkreis Jerichower Land,52.269276139014,11.852119516482
Frauen - und Kinderschutzhaus,2339,0.06776556776556776,0.0,0.9322344322344323,Hessen,Landkreis Darmstadt-Dieburg,49.893363,8.836827
Frauen - und Kinderschutzhaus Filder,2080,0.02564102564102564,0.0,0.9743589743589743,Baden-Württemberg,Landkreis Esslingen,48.663256354141,9.219398527189
Frauen helfen Frauen e.V.,2153,0.08058608058608059,0.0,0.9194139194139194,Nordrhein-Westfalen,Kreisfreie Stadt Wuppertal,51.283777950273,7.143748029476
Frauen helfen Frauen e.V.,2275,0.16483516483516483,0.0,0.8351648351648352,Bayern,Landkreis Bad Tölz-Wolfratshausen,47.915446386913,11.423220582099
Frauen helfen Frauen e.V. Dinslaken,2145,0.15018315018315018,0.0,0.8498168498168498,Nordrhein-Westfalen,Kreis Wesel,51.567639806596,6.747491084656
Frauen helfen Frauen e.V. Heidelberg,2152,0.12087912087912088,0.0,0.8791208791208791,Baden-Württemberg,Stadtkreis Heidelberg,49.38167105,8.677039550252
"Frauen und Kinderschutzhaus Baden-Baden, Landkreis Rastatt",2432,0.10805860805860806,0.05311355311355311,0.7142857142857143,Baden-Württemberg,Stadtkreis Baden-Baden,48.766436,8.244599718105
Frauen- und Kinderhaus Offenbach,2077,0.06776556776556776,0.0,0.9322344322344323,Hessen,Kreisfreie Stadt Offenbach am Main,50.104010086859,8.76674981179
Frauen- und Kinderschutzhaus,2180,0.0,0.0,1.0,Bayern,Kreisfreie Stadt Regensburg,48.98322105,12.151901371455
Frauen- und Kinderschutzhaus,2365,0.2893772893772894,0.0,0.7106227106227107,Nordrhein-Westfalen,Kreis Coesfeld,51.825388946298,7.269914071563
Frauen- und Kinderschutzhaus,2423,0.13553113553113552,0.0,0.8058608058608059,Nordrhein-Westfalen,Kreis Höxter,51.502765616284,9.117780029782
Frauen- und Kinderschutzhaus Aachen,2270,0.44871794871794873,0.0,0.5512820512820513,Nordrhein-Westfalen,Kreis Städteregion Aachen,50.788047150729,6.097588101025
Frauen- und Kinderschutzhaus Ballenstedt,2280,0.45604395604395603,0.0,0.5439560439560439,Sachsen-Anhalt,Landkreis Harz,51.722527,11.2290268
Frauen- und Kinderschutzhaus Dorsten,2115,0.163003663003663,0.0,0.836996336996337,Nordrhein-Westfalen,Kreis Recklinghausen,51.654119376554,6.963879626385
Frauen- und Kinderschutzhaus Freiburg,2092,0.003663003663003663,0.0,0.9963369963369964,Baden-Württemberg,Stadtkreis Freiburg im Breisgau,48.0327354,7.857524774655
Frauen- und Kinderschutzhaus Heckertstift,2008,0.24725274725274726,0.0,0.6575091575091575,Baden-Württemberg,Stadtkreis Mannheim,49.492173028558,8.452588097834
Frauen- und Kinderschutzhaus Heilbronn,2126,0.0695970695970696,0.0,0.9304029304029304,Baden-Württemberg,Stadtkreis Heilbronn,49.140048540701,9.219636925251
Frauen- und Kinderschutzhaus Krefeld,2229,0.13736263736263737,0.0,0.8626373626373627,Nordrhein-Westfalen,Kreisfreie Stadt Krefeld,51.331785882029,6.558523443055
Frauen- und Kinderschutzhaus Kreis Viersen,2156,0.1282051282051282,0.0,0.8717948717948718,Nordrhein-Westfalen,Kreis Viersen,51.253916413955,6.389885517278
Frauen- und Kinderschutzhaus Landkreis Leipzig,2003,0.17399267399267399,0.0,0.826007326007326,Sachsen,Landkreis Leipzig,51.124032663272,12.506939561096
Frauen- und Kinderschutzhaus Merseburg,2030,0.0,0.0,1.0,Sachsen-Anhalt,Landkreis Saalekreis,51.3568506,11.9904345
Frauen- und Kinderschutzhaus Moers,2330,0.056776556776556776,0.0,0.9432234432234432,Nordrhein-Westfalen,Kreis Wesel,51.446276386047,6.636759749098
Frauen- und Kinderschutzhaus Radolfzell,2258,0.08424908424908426,0.19963369963369965,0.7161172161172161,Baden-Württemberg,Landkreis Konstanz,47.7409243,8.955847834383
Frauen- und Kinderschutzhaus Sangerhausen,2058,0.6263736263736264,0.19597069597069597,0.17765567765567766,Sachsen-Anhalt,Landkreis Mansfeld-Südharz,51.4798304,11.2943896
Frauen- und Kinderschutzhaus Troisdorf,2130,0.07875457875457875,0.0,0.9212454212454212,Nordrhein-Westfalen,Kreis Rhein-Sieg-Kreis,50.813948,7.1508684
Frauen- und Kinderschutzhaus für den Kreis Mettmann,2111,0.1043956043956044,0.0,0.8956043956043956,Nordrhein-Westfalen,Kreis Mettmann,51.255178427612,6.968892885788
Frauen- und Kinderschutzhaus im Hohenlohekreis,2222,0.15018315018315018,0.0,0.8498168498168498,Baden-Württemberg,Landkreis Hohenlohekreis,49.181288581991,9.637402053841999
Frauen- und Kinderschutzhäuser Münster,2226,0.26556776556776557,0.0,0.7344322344322345,Nordrhein-Westfalen,Kreisfreie Stadt Münster,51.964715367909,7.65173880509
Frauen-und Kinderschutzhaus Aschersleben,2291,0.2087912087912088,0.07142857142857142,0.7197802197802198,Sachsen-Anhalt,Landkreis Salzlandkreis,51.7559549,11.462134
Frauen-und Kinderschutzhaus Schwäbisch Hall,2176,0.07509157509157509,0.152014652014652,0.7728937728937729,Baden-Württemberg,Landkreis Schwäbisch Hall,49.112065275931,9.732801718754
Frauen-und Kinderschutzhaus Tuttlingen,2254,0.11355311355311355,0.0,0.8864468864468864,Baden-Württemberg,Landkreis Tuttlingen,47.978972871,8.814629638902
Frauenhaus,2109,0.2490842490842491,0.0,0.7509157509157509,Brandenburg,Landkreis Elbe-Elster,51.628227951142,13.713308618555
Frauenhaus,2142,0.06593406593406594,0.0,0.9340659340659341,Bayern,Kreisfreie Stadt Bayreuth,49.9425551,11.5744543
Frauenhaus,2341,0.0989010989010989,0.17216117216117216,0.7289377289377289,Baden-Württemberg,Stadtkreis Karlsruhe,49.0068705,8.4034195
Frauenhaus,2401,0.0,0.0,1.0,Niedersachsen,Landkreis Nienburg (Weser),52.6380924,9.2084155
Frauenhaus,2407,0.0,0.0,0.9963369963369964,Hessen,Landkreis Groß-Gerau,49.9194456,8.4852426
Frauenhaus Ahrweiler,2412,0.09523809523809523,0.0,0.8974358974358975,Rheinland-Pfalz,Landkreis Ahrweiler,50.541523495852,7.120312435242
Frauenhaus Alsdorf,2244,0.21978021978021978,0.0,0.7802197802197802,Nordrhein-Westfalen,Kreis Städteregion Aachen,50.871672283047,6.208659018565
Frauenhaus Arnsberg,2182,0.12454212454212454,0.0,0.8754578754578755,Nordrhein-Westfalen,Kreis Hochsauerlandkreis,51.407732617724,8.051075898828
Frauenhaus Bad Hersfeld,2114,0.038461538461538464,0.0,0.9615384615384616,Hessen,Landkreis Hersfeld-Rotenburg,50.869468708997,9.714945143903
Frauenhaus Bad Kreuznach,2053,0.08241758241758242,0.0,0.9175824175824175,Rheinland-Pfalz,Landkreis Bad Kreuznach,49.8428494,7.8667379
Frauenhaus Bergisch Gladbach,2067,0.13186813186813187,0.0,0.8681318681318682,Nordrhein-Westfalen,Kreis Rheinisch-Bergischer Kreis,50.992223921021,7.153430002869
Frauenhaus Bergstraße,2043,0.06043956043956044,0.0,0.9395604395604396,Hessen,Landkreis Bergstraße,49.688967095718,8.617601744187
Frauenhaus Bocholt,2240,0.17399267399267399,0.0,0.826007326007326,Nordrhein-Westfalen,Kreis Borken,51.851967818808,6.587526413286
Frauenhaus Bochum,2283,0.11355311355311355,0.0,0.8864468864468864,Nordrhein-Westfalen,Kreisfreie Stadt Bochum,51.4818111,7.2196635
Frauenhaus Bonn - Frauen helfen Frauen e.V.,2167,0.018315018315018316,0.0,0.9816849816849816,Nordrhein-Westfalen,Kreisfreie Stadt Bonn,50.729451611876,7.083363726367
Frauenhaus Coburg,2224,0.11172161172161173,0.0,0.8882783882783882,Bayern,Kreisfreie Stadt Coburg,50.257505531706,10.961128141975
Frauenhaus Darmstadt,2070,0.08241758241758242,0.0,0.9175824175824175,Hessen,Kreisfreie Stadt Darmstadt,49.885947405614,8.654001172839
Frauenhaus Datteln,2169,0.2673992673992674,0.0,0.7326007326007326,Nordrhein-Westfalen,Kreis Recklinghausen,51.651767115463,7.328764232949
Frauenhaus Donnersbergkreis,2221,0.06043956043956044,0.0,0.9395604395604396,Rheinland-Pfalz,Landkreis Donnersbergkreis,49.6669591,7.9801167
Frauenhaus Duisburg gGmbH,2203,0.17399267399267399,0.0,0.826007326007326,Nordrhein-Westfalen,Kreisfreie Stadt Duisburg,51.434999,6.759562
Frauenhaus Düsseldorf,2419,0.047619047619047616,0.0,0.9322344322344323,Nordrhein-Westfalen,Kreisfreie Stadt Düsseldorf,51.2418056,6.8082556
Frauenhaus EN,2073,0.08608058608058608,0.0,0.9139194139194139,Nordrhein-Westfalen,Kreis Ennepe-Ruhr-Kreis,51.4438167,7.3417483
Frauenhaus Erbach,2261,0.031135531135531136,0.0,0.9688644688644689,Hessen,Landkreis Odenwaldkreis,49.653690533425,8.995164437466
Frauenhaus Erding,2362,0.30036630036630035,0.0,0.6996336996336996,Bayern,Landkreis Erding,48.304271224419,11.90594429271
Frauenhaus Erfurt,2149,0.04212454212454213,0.0,0.9578754578754579,Thüringen,Kreisfreie Stadt Erfurt,50.97579155,11.020273533775
Frauenhaus Espelkamp,2184,0.4816849816849817,0.0,0.5183150183150184,Nordrhein-Westfalen,Kreis Minden-Lübbecke,52.375750324544,8.632890486707
Frauenhaus Essen,2143,0.031135531135531136,0.0,0.9688644688644689,Nordrhein-Westfalen,Kreisfreie Stadt Essen,51.438379602305,7.009099068551
Frauenhaus Esslingen,2065,0.08241758241758242,0.0,0.9175824175824175,Baden-Württemberg,Landkreis Esslingen,48.741421196937,9.310220283594
Frauenhaus Flensburg,2255,0.020146520146520148,0.0,0.9798534798534798,Schleswig-Holstein,Kreisfreie Stadt Flensburg,54.79485029629,9.423378659978
Frauenhaus Frankenthal,2123,0.05128205128205128,0.0,0.9487179487179487,Rheinland-Pfalz,Kreisfreie Stadt Frankenthal (Pfalz),49.5377072,8.3560768
Frauenhaus Frankfurt (Oder),2248,0.06043956043956044,0.0,0.9395604395604396,Brandenburg,Kreisfreie Stadt Frankfurt (Oder),52.343312285202,14.546619410747
Frauenhaus Freudenstadt,2215,0.04945054945054945,0.02197802197802198,0.9285714285714286,Baden-Württemberg,Landkreis Freudenstadt,48.473534333796,8.420503660913
Frauenhaus Fulda,2294,0.01098901098901099,0.0,0.989010989010989,Hessen,Landkreis Fulda,50.555220369978,9.649742916617
Frauenhaus Fürth,2301,0.02564102564102564,0.0,0.9743589743589743,Bayern,Kreisfreie Stadt Fürth,49.4668322,10.9852942
Frauenhaus Gelsenkirchen,2112,0.0695970695970696,0.0,0.9304029304029304,Nordrhein-Westfalen,Kreisfreie Stadt Gelsenkirchen,51.540968835085,7.111938609989
Frauenhaus Gotha,2026,0.16483516483516483,0.07509157509157509,0.76007326007326,Thüringen,Landkreis Gotha,50.943234424969,10.717486357956
Frauenhaus Gütersloh,2267,0.1227106227106227,0.0,0.8772893772893773,Nordrhein-Westfalen,Kreis Gütersloh,51.9063997,8.3782078
Frauenhaus Hameln e.V.,2113,0.17582417582417584,0.0,0.8241758241758241,Niedersachsen,Landkreis Hameln-Pyrmont,52.105920892881,9.364572592101
Frauenhaus Hamm,2171,0.32234432234432236,0.0,0.6776556776556777,Nordrhein-Westfalen,Kreisfreie Stadt Hamm,51.6697042432,7.831726274505
Frauenhaus Hanau,2055,0.07326007326007326,0.0,0.9267399267399268,Hessen,Landkreis Main-Kinzig-Kreis,50.121842157395,8.93035691488
Frauenhaus Hannover - Frauen helfen Frauen e.V.,2013,0.02564102564102564,0.0,0.9743589743589743,Niedersachsen,Landkreis Region Hannover,52.377210097868,9.745326084829
Frauenhaus Hartengrube,2284,0.0018315018315018315,0.0,0.9981684981684982,Schleswig-Holstein,Kreisfreie Stadt Lübeck,53.861924849136,10.683346452091
Frauenhaus Herford,2033,0.0695970695970696,0.0,0.9304029304029304,Nordrhein-Westfalen,Kreis Herford,52.1196393,8.6637749
Frauenhaus Herne,2032,0.10805860805860806,0.0,0.891941391941392,Nordrhein-Westfalen,Kreisfreie Stadt Herne,51.5435523,7.2176455
Frauenhaus Herten,2157,0.304029304029304,0.0,0.6959706959706959,Nordrhein-Westfalen,Kreisfreie Stadt Gelsenkirchen,51.572645954604,7.131574084656
Frauenhaus Hildesheim e.V.,2194,0.30036630036630035,0.0,0.6996336996336996,Niedersachsen,Landkreis Hildesheim,52.152522919656,9.950775478638
Frauenhaus Hochfranken,2119,0.7435897435897436,0.0,0.2564102564102564,Bayern,Landkreis Wunsiedel i. Fichtelgebirge,50.162945060814,12.134807622047
Frauenhaus Idar-Oberstein,2183,0.23443223443223443,0.0,0.7655677655677655,Rheinland-Pfalz,Landkreis Birkenfeld,49.699458006547,7.321442009631
Frauenhaus Kassel,2165,0.04212454212454213,0.0,0.9578754578754579,Hessen,Kreisfreie Stadt Kassel,51.273161334306,9.466445816736
Frauenhaus Kiel,2106,0.0,0.018315018315018316,0.9816849816849816,Schleswig-Holstein,Kreisfreie Stadt Kiel,54.32269725,10.144833031145
Frauenhaus Kirchheim,2173,0.08791208791208792,0.0,0.9120879120879121,Baden-Württemberg,Landkreis Esslingen,48.645195802054,9.452899259968
Frauenhaus Koblenz,2413,0.016483516483516484,0.0,0.9761904761904762,Rheinland-Pfalz,Kreisfreie Stadt Koblenz,50.350559513859,7.592017311078
Frauenhaus Landau,2332,0.0695970695970696,0.0,0.9304029304029304,Rheinland-Pfalz,Kreisfreie Stadt Landau in der Pfalz,49.19988782812,8.113401055813
Frauenhaus Lila Villa e.V.,2409,0.06227106227106227,0.0,0.9304029304029304,Rheinland-Pfalz,Landkreis Bad Dürkheim,49.4612447,8.1705981
Frauenhaus Lippe,2238,0.23809523809523808,0.0,0.7619047619047619,Nordrhein-Westfalen,Kreis Lippe,51.938132853507,8.87196878474
Frauenhaus Ludwigsburg,2223,0.22527472527472528,0.009157509157509158,0.7655677655677655,Baden-Württemberg,Landkreis Ludwigsburg,48.905138982478,9.175657488432
Frauenhaus Ludwigshafen,2415,0.003663003663003663,0.009157509157509158,0.9798534798534798,Rheinland-Pfalz,Kreisfreie Stadt Ludwigshafen am Rhein,49.479714236326,8.449962862506
Frauenhaus Mainz,2411,0.007326007326007326,0.0,0.9853479853479854,Rheinland-Pfalz,Kreisfreie Stadt Mainz,49.986824590308,8.271431806591
Frauenhaus Mayen-Koblenz,2426,0.1684981684981685,0.0,0.76007326007326,Rheinland-Pfalz,Landkreis Mayen-Koblenz,50.325712347282,7.2284572929
Frauenhaus Mönchengladbach,2337,0.11355311355311355,0.0,0.8864468864468864,Nordrhein-Westfalen,Kreisfreie Stadt Mönchengladbach,51.201782299521,6.421618467145
Frauenhaus Neunkirchen,2010,0.2967032967032967,0.05311355311355311,0.6501831501831502,Saarland,Landkreis Neunkirchen,49.37167025,7.207534594691
Frauenhaus Neustadt,2201,0.045787545787545784,0.0,0.9542124542124543,Rheinland-Pfalz,Kreisfreie Stadt Neustadt an der Weinstraße,49.349491832835,8.141965744074
Frauenhaus Nürnberg,2147,0.15018315018315018,0.0,0.8498168498168498,Bayern,Kreisfreie Stadt Nürnberg,49.454987367495,11.078057924511
Frauenhaus Oberhausen,2134,0.0,0.0,1.0,Nordrhein-Westfalen,Kreisfreie Stadt Oberhausen,51.466433645076,6.858153386625
Frauenhaus Oberursel,2214,0.1684981684981685,0.0,0.8315018315018315,Hessen,Landkreis Hochtaunuskreis,50.203012037124,8.578525319621999
Frauenhaus Olpe,2047,0.17765567765567766,0.0,0.8223443223443223,Nordrhein-Westfalen,Kreis Olpe,51.030930004953,7.855977750318
Frauenhaus Ostholstein,2189,0.040293040293040296,0.029304029304029304,0.9304029304029304,Schleswig-Holstein,Kreis Ostholstein,54.119768481237,10.631741869357
Frauenhaus Paderborn,2023,0.10622710622710622,0.0,0.8937728937728938,Nordrhein-Westfalen,Kreis Paderborn,51.711630197753,8.754784819168
Frauenhaus Pinneberg,2264,0.005494505494505495,0.0,0.9945054945054945,Schleswig-Holstein,Kreis Pinneberg,53.651379970069,9.789546578719
Frauenhaus Pirmasens,2417,0.20146520146520147,0.0,0.782051282051282,Rheinland-Pfalz,Kreisfreie Stadt Pirmasens,49.206297144295,7.5975454991269995
Frauenhaus Recklinghausen e.V.,2380,0.038461538461538464,0.0,0.9615384615384616,Nordrhein-Westfalen,Kreis Recklinghausen,51.562289600477,7.197057131299
Frauenhaus Remscheid,2356,0.05311355311355311,0.0,0.9468864468864469,Nordrhein-Westfalen,Kreis Rheinisch-Bergischer Kreis,51.1463909,7.2148641
Frauenhaus Rendsburg gGmbH,2191,0.2893772893772894,0.01098901098901099,0.6996336996336996,Schleswig-Holstein,Kreis Rendsburg-Eckernförde,54.308288610642,9.658791079076
